STATION,NAME,DATE,DAPR,MDPR,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN,TOBS
USC00110338,"AURORA, IL US",1/29/2018,,,0,0,0,,44,24,24
USC00110338,"AURORA, IL US",1/30/2018,,,0,0,0,,25,12,13
USC00110338,"AURORA, IL US",1/31/2018,,,0,0,0,,31,13,30
USC00110338,"AURORA, IL US",2/1/2018,,,0,0,0,,42,26,26
USC00110338,"AURORA, IL US",2/2/2018,,,0,0,0,,26,3,3
USC00110338,"AURORA, IL US",2/3/2018,,,0,0,0,,22,3,22
USC00110338,"AURORA, IL US",2/4/2018,,,0.03,0,0,,40,22,24
USC00110338,"AURORA, IL US",2/5/2018,,,0.03,1,2,,24,-5,-5
USC00110338,"AURORA, IL US",2/6/2018,,,0.16,3.5,5,,11,-5,2
USC00110338,"AURORA, IL US",2/7/2018,,,0.07,2,7,,19,1,12
USC00110338,"AURORA, IL US",2/8/2018,,,0,0,7,,18,2,6
USC00110338,"AURORA, IL US",2/9/2018,,,0.42,8,10,,23,6,23
USC00110338,"AURORA, IL US",2/10/2018,,,0.12,3,11,,26,6,14
USC00110338,"AURORA, IL US",2/11/2018,,,0.34,5,16,,20,13,16
USC00110338,"AURORA, IL US",2/12/2018,,,0.03,1,17,,20,1,2
USC00110338,"AURORA, IL US",2/13/2018,,,0,0,18,,26,2,13
USC00110338,"AURORA, IL US",2/14/2018,,,0,0,18,,33,13,24
USC00110338,"AURORA, IL US",2/15/2018,,,0,0,14,,44,22,36
USC00110338,"AURORA, IL US",2/16/2018,,,0,0,6,,44,32,32
USC00110338,"AURORA, IL US",2/17/2018,,,0,0,3,,33,12,17
USC00110338,"AURORA, IL US",2/18/2018,,,0.04,1.5,4,,34,15,17
USC00110338,"AURORA, IL US",2/19/2018,,,0.02,1,4,,39,16,38
USC00110338,"AURORA, IL US",2/20/2018,,,1.8,0,0,,58,38,57
USC00110338,"AURORA, IL US",2/21/2018,,,0.72,0,0,,64,26,26
USC00110338,"AURORA, IL US",2/22/2018,,,0,0,0,,32,25,31
USC00110338,"AURORA, IL US",2/23/2018,,,0.08,0,0,,43,31,39
USC00110338,"AURORA, IL US",2/24/2018,,,0.01,0,0,,42,31,34
USC00110338,"AURORA, IL US",2/25/2018,,,0.27,0,0,,49,33,34
USC00110338,"AURORA, IL US",2/26/2018,,,0,0,0,,45,27,27
USC00110338,"AURORA, IL US",2/27/2018,,,0,0,0,,57,27,37
USC00110338,"AURORA, IL US",2/28/2018,,,0,0,0,,61,37,48
USC00110338,"AURORA, IL US",3/1/2018,,,0.57,0,0,,61,38,38
USC00110338,"AURORA, IL US",3/2/2018,,,0.2,0,0,,45,27,27
USC00110338,"AURORA, IL US",3/3/2018,,,0,0,0,,47,27,32
USC00110338,"AURORA, IL US",3/4/2018,,,0,0,0,,48,31,31
USC00110338,"AURORA, IL US",3/5/2018,,,0,0,0,,50,31,34
USC00110338,"AURORA, IL US",3/6/2018,,,0.26,0,0,,40,31,33
USC00110338,"AURORA, IL US",3/7/2018,,,0.03,0,0,,39,25,27
USC00110338,"AURORA, IL US",3/8/2018,,,0,0,0,,33,21,22
USC00110338,"AURORA, IL US",3/9/2018,,,0,0,0,,33,19,19
USC00110338,"AURORA, IL US",3/10/2018,,,0,0,0,,38,19,22
USC00110338,"AURORA, IL US",3/11/2018,,,0,0,0,,42,22,28
USC00110338,"AURORA, IL US",3/12/2018,,,0,0,0,,42,28,34
USC00110338,"AURORA, IL US",3/13/2018,,,0,0,0,,44,26,26
USC00110338,"AURORA, IL US",3/14/2018,,,0.01,0,0,,36,20,22
USC00110338,"AURORA, IL US",3/15/2018,,,0,0,0,,49,21,29
USC00110338,"AURORA, IL US",3/16/2018,,,0,0,0,,50,25,25
USC00110338,"AURORA, IL US",3/17/2018,,,0.32,0,0,,41,25,32
USC00110338,"AURORA, IL US",3/18/2018,,,0,0,0,,47,25,26
USC00110338,"AURORA, IL US",3/19/2018,,,0,0,0,,55,26,35
USC00110338,"AURORA, IL US",3/20/2018,,,0,0,0,,49,28,28
USC00110338,"AURORA, IL US",3/21/2018,,,0,0,0,,37,25,26
USC00110338,"AURORA, IL US",3/22/2018,,,0,0,0,,43,23,23
USC00110338,"AURORA, IL US",3/23/2018,,,0,0,0,,49,23,28
USC00110338,"AURORA, IL US",3/24/2018,,,0,0,0,,46,28,36
USC00110338,"AURORA, IL US",3/25/2018,,,0,0,0,,39,26,26
USC00110338,"AURORA, IL US",3/26/2018,,,0,0,0,,43,26,30
USC00110338,"AURORA, IL US",3/27/2018,,,0.67,0,0,,53,30,49
USC00110338,"AURORA, IL US",3/28/2018,,,0.01,0,0,,49,37,40
USC00110338,"AURORA, IL US",3/29/2018,,,0.08,0,0,,53,40,43
USC00110338,"AURORA, IL US",3/30/2018,,,0,0,0,,52,33,33
USC00110338,"AURORA, IL US",3/31/2018,,,0,0,0,,50,33,39
USC00110338,"AURORA, IL US",4/1/2018,,,0.09,0,0,,58,24,24
USC00110338,"AURORA, IL US",4/2/2018,,,0,0,0,,32,21,21
USC00110338,"AURORA, IL US",4/3/2018,,,0,0,0,,44,21,39
USC00110338,"AURORA, IL US",4/4/2018,,,0.15,0.2,0,,40,26,26
USC00110338,"AURORA, IL US",4/5/2018,,,0,0,0,,35,22,23
USC00110338,"AURORA, IL US",4/6/2018,,,0.04,0,0,,38,23,34
USC00110338,"AURORA, IL US",4/7/2018,,,0,0,0,,36,18,18
USC00110338,"AURORA, IL US",4/8/2018,,,0,0,0,,38,18,21
USC00110338,"AURORA, IL US",4/9/2018,,,0.08,1.4,1,,42,20,30
USC00110338,"AURORA, IL US",4/10/2018,,,0,0,0,,38,25,26
USC00110338,"AURORA, IL US",4/11/2018,,,0,0,0,,45,26,36
USC00110338,"AURORA, IL US",4/12/2018,,,0.02,0,0,,65,36,54
USC00110338,"AURORA, IL US",4/13/2018,,,0,0,0,,72,40,41
USC00110338,"AURORA, IL US",4/14/2018,,,0.36,0,0,,51,37,38
USC00110338,"AURORA, IL US",4/15/2018,,,0.7,0,0,,40,34,34
USC00110338,"AURORA, IL US",4/16/2018,,,0.37,0,0,,36,26,27
USC00110338,"AURORA, IL US",4/17/2018,,,0,0,0,,34,26,29
USC00110338,"AURORA, IL US",4/18/2018,,,0,0,0,,43,28,32
USC00110338,"AURORA, IL US",4/19/2018,,,0.15,0.4,0,,36,30,31
USC00110338,"AURORA, IL US",4/20/2018,,,0,0,0,,54,28,28
USC00110338,"AURORA, IL US",4/21/2018,,,0,0,0,,61,28,44
USC00110338,"AURORA, IL US",4/22/2018,,,0,0,0,,56,44,44
USC00110338,"AURORA, IL US",4/23/2018,,,0.02,0,0,,63,44,45
USC00110338,"AURORA, IL US",4/24/2018,,,0,0,0,,66,45,50
USC00110338,"AURORA, IL US",4/25/2018,,,0,0,0,,69,43,43
USC00110338,"AURORA, IL US",4/26/2018,,,0,0,0,,60,35,36
USC00110338,"AURORA, IL US",4/27/2018,,,0,0,0,,66,35,45
USC00110338,"AURORA, IL US",4/28/2018,,,0.05,0,0,,62,35,36
USC00110338,"AURORA, IL US",4/29/2018,,,0,0,0,,55,30,31
USC00110338,"AURORA, IL US",4/30/2018,,,0,0,0,,63,31,43
USC00110338,"AURORA, IL US",5/1/2018,,,0,0,0,,80,43,57
USC00110338,"AURORA, IL US",5/2/2018,,,0,0,0,,85,57,68
USC00110338,"AURORA, IL US",5/3/2018,,,1.25,0,0,,84,61,62
USC00110338,"AURORA, IL US",5/4/2018,,,0.02,0,0,,75,62,65
USC00110338,"AURORA, IL US",5/5/2018,,,0,0,0,,74,52,53
USC00110338,"AURORA, IL US",5/6/2018,,,0,0,0,,81,53,57
USC00110338,"AURORA, IL US",5/7/2018,,,0,0,0,,74,48,50
USC00110338,"AURORA, IL US",5/8/2018,,,0,0,0,,76,50,53
USC00110338,"AURORA, IL US",5/9/2018,,,0.37,0,0,,80,53,57
USC00110338,"AURORA, IL US",5/10/2018,,,0.02,,,,81,55,57
USC00110338,"AURORA, IL US",5/11/2018,,,0.06,0,0,,74,46,49
USC00110338,"AURORA, IL US",5/12/2018,,,0.05,0,0,,56,44,44
USC00110338,"AURORA, IL US",5/13/2018,,,0.65,,,,52,44,49
USC00110338,"AURORA, IL US",5/14/2018,,,0.12,0,0,,68,48,56
USC00110338,"AURORA, IL US",5/15/2018,,,0.48,,,,84,48,64
USC00110338,"AURORA, IL US",5/16/2018,,,0,0,0,,73,48,50
USC00110338,"AURORA, IL US",5/17/2018,,,0,0,0,,81,50,55
USC00110338,"AURORA, IL US",5/18/2018,,,0,,,,78,54,54
USC00110338,"AURORA, IL US",5/19/2018,,,0.09,,,,72,54,57
USC00110338,"AURORA, IL US",5/20/2018,,,0.04,,,,69,47,47
USC00110338,"AURORA, IL US",5/21/2018,,,0.47,0,0,,58,46,52
USC00110338,"AURORA, IL US",5/22/2018,,,2.2,,,,67,51,58
USC00110338,"AURORA, IL US",5/23/2018,,,0,,,,69,51,53
USC00110338,"AURORA, IL US",5/24/2018,,,0,0,0,,81,53,58
USC00110338,"AURORA, IL US",5/25/2018,,,0,0,0,,86,58,66
USC00110338,"AURORA, IL US",5/26/2018,,,0,,,,89,65,66
USC00110338,"AURORA, IL US",5/27/2018,,,0,0,0,,90,66,70
USC00110338,"AURORA, IL US",5/28/2018,,,0,,,,96,69,72
USC00110338,"AURORA, IL US",5/29/2018,,,0,,,,93,68,71
USC00110338,"AURORA, IL US",5/30/2018,,,0,0,0,,89,70,70
USC00110338,"AURORA, IL US",5/31/2018,,,1.35,0,0,,86,68,68
USC00110338,"AURORA, IL US",6/1/2018,,,0.02,,,,87,68,69
USC00110338,"AURORA, IL US",6/2/2018,,,0,,,,82,52,56
USC00110338,"AURORA, IL US",6/3/2018,,,0,,,,76,56,63
USC00110338,"AURORA, IL US",6/4/2018,,,0,0,0,,77,53,56
USC00110338,"AURORA, IL US",6/5/2018,,,0,0,0,,80,56,65
USC00110338,"AURORA, IL US",6/6/2018,,,0,,,,79,51,52
USC00110338,"AURORA, IL US",6/7/2018,,,0.22,,,,79,52,66
USC00110338,"AURORA, IL US",6/8/2018,,,0,,,,84,61,61
USC00110338,"AURORA, IL US",6/9/2018,,,0.37,0,0,,74,60,64
USC00110338,"AURORA, IL US",6/10/2018,,,1.47,0,0,,80,62,65
USC00110338,"AURORA, IL US",6/11/2018,,,0.45,,,,69,62,62
USC00110338,"AURORA, IL US",6/12/2018,,,0.02,,,,68,62,67
USC00110338,"AURORA, IL US",6/13/2018,,,0,0,0,,79,67,69
USC00110338,"AURORA, IL US",6/14/2018,,,0,,,,79,59,63
USC00110338,"AURORA, IL US",6/15/2018,,,0,,,,78,62,69
USC00110338,"AURORA, IL US",6/16/2018,,,0,,,,88,67,71
USC00110338,"AURORA, IL US",6/17/2018,,,0,,,,91,71,76
USC00110338,"AURORA, IL US",6/18/2018,,,0,0,0,,92,76,78
USC00110338,"AURORA, IL US",6/19/2018,,,0.98,,,,92,66,66
USC00110338,"AURORA, IL US",6/20/2018,,,0.07,,,,83,65,66
USC00110338,"AURORA, IL US",6/21/2018,,,1.1,,,,81,63,65
USC00110338,"AURORA, IL US",6/22/2018,,,1.45,0,0,,68,60,60
USC00110338,"AURORA, IL US",6/23/2018,,,0.97,,,,63,59,62
USC00110338,"AURORA, IL US",6/24/2018,,,0,0,0,,78,62,64
USC00110338,"AURORA, IL US",6/25/2018,,,0,,,,83,60,62
USC00110338,"AURORA, IL US",6/26/2018,,,0,,,,81,59,62
USC00110338,"AURORA, IL US",6/27/2018,,,0.25,0,0,,82,62,69
USC00110338,"AURORA, IL US",6/28/2018,,,0,0,0,,81,65,67
USC00110338,"AURORA, IL US",6/29/2018,,,0,,,,87,67,73
USC00110338,"AURORA, IL US",6/30/2018,,,0,,,,92,73,77
USC00110338,"AURORA, IL US",7/1/2018,,,0,,,,91,76,77
USC00110338,"AURORA, IL US",7/2/2018,,,0.09,,,,90,67,68
USC00110338,"AURORA, IL US",7/3/2018,,,0,0,0,,86,62,64
USC00110338,"AURORA, IL US",7/4/2018,,,0,,,,91,64,76
USC00110338,"AURORA, IL US",7/5/2018,,,0.02,,,,89,72,73
USC00110338,"AURORA, IL US",7/6/2018,,,0,,,,90,68,68
USC00110338,"AURORA, IL US",7/7/2018,,,0,0,0,,78,56,58
USC00110338,"AURORA, IL US",7/8/2018,,,0,,,,83,58,61
USC00110338,"AURORA, IL US",7/9/2018,,,0,,,,84,61,64
USC00110338,"AURORA, IL US",7/10/2018,,,0,,,,88,64,74
USC00110338,"AURORA, IL US",7/11/2018,,,0,0,0,,87,67,67
USC00110338,"AURORA, IL US",7/12/2018,,,0,,,,89,67,70
USC00110338,"AURORA, IL US",7/13/2018,,,0,,,,85,68,69
USC00110338,"AURORA, IL US",7/14/2018,,,0.29,,,,90,69,70
USC00110338,"AURORA, IL US",7/15/2018,,,0.15,,,,82,70,70
USC00110338,"AURORA, IL US",7/16/2018,,,0,,,,88,70,75
USC00110338,"AURORA, IL US",7/17/2018,,,0,0,0,,88,66,67
USC00110338,"AURORA, IL US",7/18/2018,,,0,,,,84,60,61
USC00110338,"AURORA, IL US",7/19/2018,,,0,,,,82,55,61
USC00110338,"AURORA, IL US",7/20/2018,,,0.03,0,0,,84,61,71
USC00110338,"AURORA, IL US",7/21/2018,,,0.4,,,,75,67,68
USC00110338,"AURORA, IL US",7/22/2018,,,0.05,0,0,,81,68,70
USC00110338,"AURORA, IL US",7/23/2018,,,0,,,,78,62,63
USC00110338,"AURORA, IL US",7/24/2018,,,0,,,,83,63,66
USC00110338,"AURORA, IL US",7/25/2018,,,0,0,0,,87,64,65
USC00110338,"AURORA, IL US",7/26/2018,,,0,,,,86,65,69
USC00110338,"AURORA, IL US",7/27/2018,,,0,,,,80,58,58
USC00110338,"AURORA, IL US",7/28/2018,,,0,,,,77,57,57
USC00110338,"AURORA, IL US",7/29/2018,,,0,,,,79,57,61
USC00110338,"AURORA, IL US",7/30/2018,,,0,0,0,,80,60,61
USC00110338,"AURORA, IL US",7/31/2018,,,0,0,0,,81,61,62
USC00110338,"AURORA, IL US",8/1/2018,,,0,,,,79,59,60
USC00110338,"AURORA, IL US",8/2/2018,,,0.93,0,,,86,59,68
USC00110338,"AURORA, IL US",8/3/2018,,,0,0,0,,86,59,61
USC00110338,"AURORA, IL US",8/4/2018,,,0,,,,85,61,71
USC00110338,"AURORA, IL US",8/5/2018,,,0,0,0,,92,71,74
USC00110338,"AURORA, IL US",8/6/2018,,,0.02,,,,91,70,71
USC00110338,"AURORA, IL US",8/7/2018,,,0.22,,,,91,68,70
USC00110338,"AURORA, IL US",8/8/2018,,,0.25,,,,81,66,68
USC00110338,"AURORA, IL US",8/9/2018,,,0,,,,83,66,66
USC00110338,"AURORA, IL US",8/10/2018,,,0,,,,89,66,70
USC00110338,"AURORA, IL US",8/11/2018,,,0,,,,90,64,65
USC00110338,"AURORA, IL US",8/12/2018,,,0,,,,88,65,67
USC00110338,"AURORA, IL US",8/13/2018,,,0,0,0,,84,63,63
USC00110338,"AURORA, IL US",8/14/2018,,,0,,,,88,63,68
USC00110338,"AURORA, IL US",8/15/2018,,,0,,,,87,68,73
USC00110338,"AURORA, IL US",8/16/2018,,,0,0,0,,86,70,71
USC00110338,"AURORA, IL US",8/17/2018,,,0.45,,,,87,67,68
USC00110338,"AURORA, IL US",8/18/2018,,,0.12,,,,84,68,70
USC00110338,"AURORA, IL US",8/19/2018,,,0,0,0,,82,65,66
USC00110338,"AURORA, IL US",8/20/2018,,,0,,,,87,66,70
USC00110338,"AURORA, IL US",8/21/2018,,,0.38,,,,87,66,68
USC00110338,"AURORA, IL US",8/22/2018,,,0.03,,,,78,55,55
USC00110338,"AURORA, IL US",8/23/2018,,,0,0,0,,78,55,55
USC00110338,"AURORA, IL US",8/24/2018,,,0,,,,82,55,64
USC00110338,"AURORA, IL US",8/25/2018,,,0.46,,,,70,61,66
USC00110338,"AURORA, IL US",8/26/2018,,,0,,,,86,66,70
USC00110338,"AURORA, IL US",8/27/2018,,,0,0,0,,92,70,72
USC00110338,"AURORA, IL US",8/28/2018,,,0,,,,92,72,77
USC00110338,"AURORA, IL US",8/29/2018,,,1.55,,,,90,67,68
USC00110338,"AURORA, IL US",8/30/2018,,,0,,,,71,58,59
USC00110338,"AURORA, IL US",8/31/2018,,,0,,,,85,58,59
USC00110338,"AURORA, IL US",9/1/2018,,,0,0,0,,85,59,71
USC00110338,"AURORA, IL US",9/2/2018,,,0.24,,,,85,71,72
USC00110338,"AURORA, IL US",9/3/2018,,,0.43,,,,89,70,70
USC00110338,"AURORA, IL US",9/4/2018,,,0.15,,,,87,70,71
USC00110338,"AURORA, IL US",9/5/2018,,,0,,,,91,70,73
USC00110338,"AURORA, IL US",9/6/2018,,,0.25,0,0,,89,65,65
USC00110338,"AURORA, IL US",9/7/2018,,,0.6,,,,68,62,65
USC00110338,"AURORA, IL US",9/8/2018,,,0.18,,,,68,63,63
USC00110338,"AURORA, IL US",9/9/2018,,,0,,,,69,58,58
USC00110338,"AURORA, IL US",9/10/2018,,,0,0,0,,68,54,55
USC00110338,"AURORA, IL US",9/11/2018,,,0,,,,75,54,54
USC00110338,"AURORA, IL US",9/12/2018,,,0,,,,79,54,60
USC00110338,"AURORA, IL US",9/13/2018,,,0,,,,82,57,57
USC00110338,"AURORA, IL US",9/14/2018,,,0,0,0,,79,57,61
USC00110338,"AURORA, IL US",9/15/2018,,,0,,,,86,61,63
USC00110338,"AURORA, IL US",9/16/2018,,,0,0,0,,84,63,66
USC00110338,"AURORA, IL US",9/17/2018,,,0,,,,89,66,67
USC00110338,"AURORA, IL US",9/18/2018,,,0,0,0,,91,66,67
USC00110338,"AURORA, IL US",9/19/2018,,,0,,,,79,64,65
USC00110338,"AURORA, IL US",9/20/2018,,,0,,,,81,65,67
USC00110338,"AURORA, IL US",9/21/2018,,,0,,,,94,66,75
USC00110338,"AURORA, IL US",9/22/2018,,,0,,,,76,49,49
USC00110338,"AURORA, IL US",9/23/2018,,,0,,,,67,47,48
USC00110338,"AURORA, IL US",9/24/2018,,,0,0,0,,74,47,55
USC00110338,"AURORA, IL US",9/25/2018,,,0,,,,71,54,68
USC00110338,"AURORA, IL US",9/26/2018,,,0.28,,,,90,49,49
USC00110338,"AURORA, IL US",9/27/2018,,,0,,,,67,45,45
USC00110338,"AURORA, IL US",9/28/2018,,,0,,,,71,45,53
USC00110338,"AURORA, IL US",9/29/2018,,,0.1,0,0,,60,39,39
USC00110338,"AURORA, IL US",9/30/2018,,,0.07,,,,57,39,53
USC00110338,"AURORA, IL US",10/1/2018,,,0,,,,65,53,56
USC00110338,"AURORA, IL US",10/2/2018,,,1.27,,,,74,56,56
USC00110338,"AURORA, IL US",10/3/2018,,,0,,,,62,56,61
USC00110338,"AURORA, IL US",10/4/2018,,,0.07,,,,87,57,57
USC00110338,"AURORA, IL US",10/5/2018,,,0.46,,,,59,48,53
USC00110338,"AURORA, IL US",10/6/2018,,,1.18,,,,66,53,65
USC00110338,"AURORA, IL US",10/7/2018,,,0.09,,,,68,55,55
USC00110338,"AURORA, IL US",10/8/2018,,,1.03,0,0,,64,55,64
USC00110338,"AURORA, IL US",10/9/2018,,,0,,,,83,64,69
USC00110338,"AURORA, IL US",10/10/2018,,,0,,,,85,69,70
USC00110338,"AURORA, IL US",10/11/2018,,,0.28,,,,74,43,43
USC00110338,"AURORA, IL US",10/12/2018,,,0,,,,50,33,33
USC00110338,"AURORA, IL US",10/13/2018,,,0,0,0,,42,32,34
USC00110338,"AURORA, IL US",10/14/2018,,,0,,,,52,33,37
USC00110338,"AURORA, IL US",10/15/2018,,,0.22,,,,53,36,36
USC00110338,"AURORA, IL US",10/16/2018,,,0,,,,48,33,33
USC00110338,"AURORA, IL US",10/17/2018,,,0,,,,58,32,40
USC00110338,"AURORA, IL US",10/18/2018,,,0,,,,51,30,31
USC00110338,"AURORA, IL US",10/19/2018,,,0,,,,58,30,42
USC00110338,"AURORA, IL US",10/20/2018,,,0.1,,,,53,42,43
USC00110338,"AURORA, IL US",10/21/2018,,,0.04,0,0,,51,25,25
USC00110338,"AURORA, IL US",10/22/2018,,,0,0,0,,51,25,37
USC00110338,"AURORA, IL US",10/23/2018,,,0,,,,64,36,38
USC00110338,"AURORA, IL US",10/24/2018,,,0,,,,54,33,33
USC00110338,"AURORA, IL US",10/25/2018,,,0,,,,53,33,39
USC00110338,"AURORA, IL US",10/26/2018,,,0,,,,51,39,45
USC00110338,"AURORA, IL US",10/27/2018,,,0,0,0,,53,43,43
USC00110338,"AURORA, IL US",10/28/2018,,,0.17,,,,56,42,47
USC00110338,"AURORA, IL US",10/29/2018,,,0.02,,,,50,35,36
USC00110338,"AURORA, IL US",10/30/2018,,,0,,,,55,35,47
USC00110338,"AURORA, IL US",10/31/2018,,,0.47,0,0,,65,,47
USC00110338,"AURORA, IL US",11/1/2018,,,0,0,0,,59,46,48
USC00110338,"AURORA, IL US",11/2/2018,,,0,,,,51,35,35
USC00110338,"AURORA, IL US",11/3/2018,,,0.02,,,,51,35,37
USC00110338,"AURORA, IL US",11/4/2018,,,0.07,,,,49,37,49
USC00110338,"AURORA, IL US",11/5/2018,,,0.7,0,0,,52,43,43
USC00110338,"AURORA, IL US",11/6/2018,,,0.35,0,0,,51,43,46
USC00110338,"AURORA, IL US",11/7/2018,,,0.02,,,,47,34,34
USC00110338,"AURORA, IL US",11/8/2018,,,0,,,,38,32,32
USC00110338,"AURORA, IL US",11/9/2018,,,0.07,1,1,,39,30,30
USC00110338,"AURORA, IL US",11/10/2018,,,0.03,0.2,0,,31,18,18
USC00110338,"AURORA, IL US",11/11/2018,,,0,,,,31,17,28
USC00110338,"AURORA, IL US",11/12/2018,,,0,,,,42,28,30
USC00110338,"AURORA, IL US",11/13/2018,,,0,,,,33,17,17
USC00110338,"AURORA, IL US",11/14/2018,,,0,0,0,,28,16,16
USC00110338,"AURORA, IL US",11/15/2018,,,0,,,,36,16,29
USC00110338,"AURORA, IL US",11/16/2018,,,0.04,0,0,,34,25,34
USC00110338,"AURORA, IL US",11/17/2018,,,0.05,1,1,,40,32,32
USC00110338,"AURORA, IL US",11/18/2018,,,0.13,1.5,2,,33,28,29
USC00110338,"AURORA, IL US",11/19/2018,,,0,0,2,,35,20,22
USC00110338,"AURORA, IL US",11/20/2018,,,0,0,0,,35,22,28
USC00110338,"AURORA, IL US",11/21/2018,,,0,,,,33,26,29
USC00110338,"AURORA, IL US",11/22/2018,,,0,,,,37,26,29
USC00110338,"AURORA, IL US",11/23/2018,,,0,,,,41,29,36
USC00110338,"AURORA, IL US",11/24/2018,,,0.25,0,0,,50,35,43
USC00110338,"AURORA, IL US",11/25/2018,,,0,,,,46,36,36
USC00110338,"AURORA, IL US",11/26/2018,,,1.47,5.5,6,,37,25,25
USC00110338,"AURORA, IL US",11/27/2018,,,0,0,6,,25,19,20
USC00110338,"AURORA, IL US",11/28/2018,,,0,0,5,,27,16,20
USC00110338,"AURORA, IL US",11/29/2018,,,0.01,0.1,5,,29,20,28
USC00110338,"AURORA, IL US",11/30/2018,,,0,0,5,,37,28,29
USC00110338,"AURORA, IL US",12/1/2018,,,0,0,5,,43,29,36
USC00110338,"AURORA, IL US",12/2/2018,,,1.06,0,3,,43,36,41
USC00110338,"AURORA, IL US",12/3/2018,,,0.07,0.1,0,,43,32,32
USC00110338,"AURORA, IL US",12/4/2018,,,0,0,0,,34,25,28
USC00110338,"AURORA, IL US",12/5/2018,,,0,0,0,,31,24,24
USC00110338,"AURORA, IL US",12/6/2018,,,0,0,0,,33,24,30
USC00110338,"AURORA, IL US",12/7/2018,,,0,0,0,,30,14,14
USC00110338,"AURORA, IL US",12/8/2018,,,0,0,0,,24,14,23
USC00110338,"AURORA, IL US",12/9/2018,,,0,0,0,,30,14,14
USC00110338,"AURORA, IL US",12/10/2018,,,0,0,0,,33,13,13
USC00110338,"AURORA, IL US",12/11/2018,,,0,0,0,,35,13,24
USC00110338,"AURORA, IL US",12/12/2018,,,0,0,0,,38,24,36
USC00110338,"AURORA, IL US",12/13/2018,,,0,0,0,,39,23,25
USC00110338,"AURORA, IL US",12/14/2018,,,0.18,0,0,,42,25,38
USC00110338,"AURORA, IL US",12/15/2018,,,0,0,0,,42,26,29
USC00110338,"AURORA, IL US",12/16/2018,,,0,0,0,,50,26,26
USC00110338,"AURORA, IL US",12/17/2018,,,0,0,0,,46,26,31
USC00110338,"AURORA, IL US",12/18/2018,,,0,0,0,,41,23,23
USC00110338,"AURORA, IL US",12/19/2018,,,0,0,0,,48,23,34
USC00110338,"AURORA, IL US",12/20/2018,,,0.01,0,0,,45,34,42
USC00110338,"AURORA, IL US",12/21/2018,,,0.1,0,0,,45,33,33
USC00110338,"AURORA, IL US",12/22/2018,,,0,0,0,,33,27,27
USC00110338,"AURORA, IL US",12/23/2018,,,0,0,0,,34,27,31
USC00110338,"AURORA, IL US",12/24/2018,,,0,0,0,,40,22,22
USC00110338,"AURORA, IL US",12/25/2018,,,0,0,0,,35,22,32
USC00110338,"AURORA, IL US",12/26/2018,,,0,0,0,,46,25,25
USC00110338,"AURORA, IL US",12/27/2018,,,0.05,0,0,,46,25,41
USC00110338,"AURORA, IL US",12/28/2018,,,0.61,0,0,,52,36,36
USC00110338,"AURORA, IL US",12/29/2018,,,0.05,0.3,0,,36,27,28
USC00110338,"AURORA, IL US",12/30/2018,,,0.02,0,0,,28,19,19
